Region,State,AirportID,City,Airport_Name,S/L,Hub,Year,Boardings,PCT_Rise
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2015,147137,0.14
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2014,128515,-0.09
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2013,140886,-0.05
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2012,147794,1.07
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2011,71316,0.18
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2010,60682,-0.03
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2009,62592,-0.04
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2008,65351,1.52
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2007,25947,-0.61
WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,2006,66731,1.57
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2015,320544,0.07
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2014,298306,-0.01
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2013,301969,-0.14
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2012,350066,-0.18
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2011,428332,0.03
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2010,414427,0.1
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2009,376091,-0.04
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2008,392039,-0.08
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2007,426687,0.07
EA,PA,ABE,Allentown,Lehigh Valley International,P,N,2006,397603,-0.05
SW,TX,ABI,Abilene,Abilene Regional,P,N,2015,86000,-0.08
SW,TX,ABI,Abilene,Abilene Regional,P,N,2014,93656,0.13
SW,TX,ABI,Abilene,Abilene Regional,P,N,2013,82758,0.11
SW,TX,ABI,Abilene,Abilene Regional,P,N,2012,74523,-0.07
SW,TX,ABI,Abilene,Abilene Regional,P,N,2011,80434,0.09
SW,TX,ABI,Abilene,Abilene Regional,P,N,2010,73605,-0.09
SW,TX,ABI,Abilene,Abilene Regional,P,N,2009,81172,-0.07
SW,TX,ABI,Abilene,Abilene Regional,P,N,2008,87682,-0.03
SW,TX,ABI,Abilene,Abilene Regional,P,N,2007,90369,-0.01
SW,TX,ABI,Abilene,Abilene Regional,P,N,2006,90918,0.16
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2015,2323883,-0.01
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2014,2354184,-0.05
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2013,2477783,-0.06
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2012,2630574,-0.05
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2011,2768435,-0.02
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2010,2828420,-0.02
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2009,2881798,-0.09
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2008,3158971,-0.02
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2007,3239096,0.02
SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2006,3176299,0
GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,2015,27595,0.04
GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,2014,26497,0.04
GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,2013,25567,0.03
GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,2012,24822,0.01
GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,2011,24503,0.22
GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,2010,20089,-0.05
GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,2009,21100,-0.09
GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,2008,23225,-0.12
GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,2007,26404,-0.01
GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,2006,26561,-0.08
SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,2015,33949,0.09
SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,2014,31260,0
SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,2013,31276,-0.07
SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,2012,33494,0
SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,2011,33627,-0.05
SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,2010,35494,0.07
SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,2009,33044,-0.16
SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,2008,39200,0.01
SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,2007,38758,0.12
SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,2006,34712,-0.1
NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,2015,155952,-0.08
NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,2014,170361,-0.07
NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,2013,183557,0.02
NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,2012,179128,0.06
NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,2011,169352,-0.16
NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,2010,201390,-0.02
NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,2009,204981,-0.21
NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,2008,258214,-0.09
NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,2007,282197,0.02
NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,2006,276866,0.1
SW,TX,ACT,Waco,Waco Regional,P,N,2015,62882,-0.06
SW,TX,ACT,Waco,Waco Regional,P,N,2014,66631,0.06
SW,TX,ACT,Waco,Waco Regional,P,N,2013,62634,0.05
SW,TX,ACT,Waco,Waco Regional,P,N,2012,59836,-0.02
SW,TX,ACT,Waco,Waco Regional,P,N,2011,61164,0
SW,TX,ACT,Waco,Waco Regional,P,N,2010,61401,-0.07
SW,TX,ACT,Waco,Waco Regional,P,N,2009,66089,-0.03
SW,TX,ACT,Waco,Waco Regional,P,N,2008,68381,-0.11
SW,TX,ACT,Waco,Waco Regional,P,N,2007,76410,0.03
SW,TX,ACT,Waco,Waco Regional,P,N,2006,74235,0.04
WP,CA,ACV,Arcata,Arcata,P,N,2015,55168,0.07
WP,CA,ACV,Arcata,Arcata,P,N,2014,51688,-0.09
WP,CA,ACV,Arcata,Arcata,P,N,2013,56682,-0.08
WP,CA,ACV,Arcata,Arcata,P,N,2012,61705,-0.12
WP,CA,ACV,Arcata,Arcata,P,N,2011,70455,-0.25
WP,CA,ACV,Arcata,Arcata,P,N,2010,93402,-0.09
WP,CA,ACV,Arcata,Arcata,P,N,2009,102440,-0.04
WP,CA,ACV,Arcata,Arcata,P,N,2008,106637,0.01
WP,CA,ACV,Arcata,Arcata,P,N,2007,105969,0.02
WP,CA,ACV,Arcata,Arcata,P,N,2006,103515,-0.05
EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,2015,587967,-0.01
EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,2014,594346,0.07
EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,2013,553695,-0.17
EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,2012,663142,-0.01
EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,2011,668930,0
EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,2010,669470,0.27
EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,2009,525121,-0.01
EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,2008,527873,-0.07
EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,2007,566076,0.24
EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,2006,458058,-0.02
AL,AK,ADQ,Kodiak,Kodiak,P,N,2015,81970,0.03
AL,AK,ADQ,Kodiak,Kodiak,P,N,2014,79966,0
AL,AK,ADQ,Kodiak,Kodiak,P,N,2013,79930,0.02
AL,AK,ADQ,Kodiak,Kodiak,P,N,2012,78749,-0.03
AL,AK,ADQ,Kodiak,Kodiak,P,N,2011,81149,0.01
AL,AK,ADQ,Kodiak,Kodiak,P,N,2010,80303,0.02
AL,AK,ADQ,Kodiak,Kodiak,P,N,2009,78375,-0.04
AL,AK,ADQ,Kodiak,Kodiak,P,N,2008,82057,0
AL,AK,ADQ,Kodiak,Kodiak,P,N,2007,81713,0.06
AL,AK,ADQ,Kodiak,Kodiak,P,N,2006,77343,-0.01
SW,LA,AEX,Alexandria,Alexandria International,P,N,2015,159252,-0.09
SW,LA,AEX,Alexandria,Alexandria International,P,N,2014,175526,-0.05
SW,LA,AEX,Alexandria,Alexandria International,P,N,2013,183899,-0.03
SW,LA,AEX,Alexandria,Alexandria International,P,N,2012,189476,0.01
SW,LA,AEX,Alexandria,Alexandria International,P,N,2011,188286,0.05
SW,LA,AEX,Alexandria,Alexandria International,P,N,2010,179129,0.16
SW,LA,AEX,Alexandria,Alexandria International,P,N,2009,154736,0.09
SW,LA,AEX,Alexandria,Alexandria International,P,N,2008,142223,-0.02
SW,LA,AEX,Alexandria,Alexandria International,P,N,2007,145761,0.06
SW,LA,AEX,Alexandria,Alexandria International,P,N,2006,137283,-0.01
SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,2015,271915,0.03
SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,2014,263478,0.01
SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,2013,260523,-0.04
SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,2012,271740,0.02
SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,2011,267631,0.09
SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,2010,246587,0.24
SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,2009,198489,0.13
SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,2008,176097,0.14
SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,2007,154558,0.15
SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,2006,134716,-0.14
AL,AK,AKN,King Salmon,King Salmon,P,N,2015,35693,0.02
AL,AK,AKN,King Salmon,King Salmon,P,N,2014,35012,-0.01
AL,AK,AKN,King Salmon,King Salmon,P,N,2013,35450,-0.01
AL,AK,AKN,King Salmon,King Salmon,P,N,2012,35803,-0.11
AL,AK,AKN,King Salmon,King Salmon,P,N,2011,40345,-0.03
AL,AK,AKN,King Salmon,King Salmon,P,N,2010,41514,0.02
AL,AK,AKN,King Salmon,King Salmon,P,N,2009,40530,-0.04
AL,AK,AKN,King Salmon,King Salmon,P,N,2008,42310,0
AL,AK,AKN,King Salmon,King Salmon,P,N,2007,42253,0.11
AL,AK,AKN,King Salmon,King Salmon,P,N,2006,38220,-0.05
EA,NY,ALB,Albany,Albany International,P,S,2015,1276793,0.05
EA,NY,ALB,Albany,Albany International,P,S,2014,1210825,0.01
EA,NY,ALB,Albany,Albany International,P,S,2013,1196532,-0.02
EA,NY,ALB,Albany,Albany International,P,S,2012,1222354,0
EA,NY,ALB,Albany,Albany International,P,S,2011,1216626,-0.03
EA,NY,ALB,Albany,Albany International,P,S,2010,1250282,-0.04
EA,NY,ALB,Albany,Albany International,P,S,2009,1302814,-0.05
EA,NY,ALB,Albany,Albany International,P,S,2008,1365854,-0.04
EA,NY,ALB,Albany,Albany International,P,S,2007,1423754,-0.01
EA,NY,ALB,Albany,Albany International,P,S,2006,1443360,-0.06
CE,IA,ALO,Waterloo,Waterloo Regional,P,N,2015,26950,0.12
CE,IA,ALO,Waterloo,Waterloo Regional,P,N,2014,23994,0.14
CE,IA,ALO,Waterloo,Waterloo Regional,P,N,2013,20984,0.07
CE,IA,ALO,Waterloo,Waterloo Regional,P,N,2012,19522,-0.12
CE,IA,ALO,Waterloo,Waterloo Regional,P,N,2011,22297,-0.04
CE,IA,ALO,Waterloo,Waterloo Regional,P,N,2010,23206,0.04
CE,IA,ALO,Waterloo,Waterloo Regional,P,N,2009,22255,-0.17
CE,IA,ALO,Waterloo,Waterloo Regional,P,N,2008,26831,-0.07
CE,IA,ALO,Waterloo,Waterloo Regional,P,N,2007,28880,-0.13
CE,IA,ALO,Waterloo,Waterloo Regional,P,N,2006,33211,-0.17
NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,2015,41272,0.13
NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,2014,36373,0.1
NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,2013,33072,0.04
NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,2012,31832,-0.01
NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,2011,32139,0.11
NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,2010,29064,-0.13
NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,2009,33456,0.13
NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,2008,29672,0.03
NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,2007,28711,0.01
NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,2006,28410,0.15
SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,N,2015,341132,-0.06
SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,N,2014,362412,-0.02
SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,N,2013,370508,-0.05
SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,N,2012,389284,-0.01
SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,N,2011,392815,0
SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,N,2010,394593,0
SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,N,2009,394569,-0.13
SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,N,2008,453459,-0.01
SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,N,2007,458228,0.03
SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,N,2006,446926,0
AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2015,2525893,0.06
AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2014,2381826,0.02
AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2013,2325030,0.03
AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2012,2249717,-0.04
AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2011,2354987,0.01
AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2010,2342310,0.03
AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2009,2282637,-0.12
AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2008,2599313,-0.01
AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2007,2617964,0.11
AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2006,2367390,-0.03
AL,AK,ANI,Aniak,Aniak,P,N,2015,13771,0.06
AL,AK,ANI,Aniak,Aniak,P,N,2014,12955,-0.1
AL,AK,ANI,Aniak,Aniak,P,N,2013,14334,-0.06
AL,AK,ANI,Aniak,Aniak,P,N,2012,15220,-0.06
AL,AK,ANI,Aniak,Aniak,P,N,2011,16217,-0.01
AL,AK,ANI,Aniak,Aniak,P,N,2010,16394,0.01
AL,AK,ANI,Aniak,Aniak,P,N,2009,16255,-0.12
AL,AK,ANI,Aniak,Aniak,P,N,2008,18526,-0.22
AL,AK,ANI,Aniak,Aniak,P,N,2007,23803,-0.09
AL,AK,ANI,Aniak,Aniak,P,N,2006,26041,0.13
NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,2015,233512,0.07
NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,2014,217648,0.05
NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,2013,206686,-0.04
NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,2012,214892,-0.03
NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,2011,221256,-0.01
NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,2010,222755,0.03
NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,2009,216868,0.02
NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,2008,213381,0.17
NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,2007,182268,-0.1
NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,2006,201642,0.04
SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,2015,49340732,0.06
SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,2014,46604273,0.03
SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,2013,45308407,-0.01
SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,2012,45798928,0.03
SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,2011,44414121,0.03
SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,2010,43130585,0.02
SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,2009,42280868,-0.03
SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,2008,43761280,0.01
SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,2007,43236665,0.05
SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,2006,41352038,-0.02
GL,WI,ATW,Appleton,Appleton International,P,N,2015,258321,0.03
GL,WI,ATW,Appleton,Appleton International,P,N,2014,249656,0.01
GL,WI,ATW,Appleton,Appleton International,P,N,2013,246211,0.07
GL,WI,ATW,Appleton,Appleton International,P,N,2012,229248,-0.05
GL,WI,ATW,Appleton,Appleton International,P,N,2011,242346,-0.11
GL,WI,ATW,Appleton,Appleton International,P,N,2010,272471,0
GL,WI,ATW,Appleton,Appleton International,P,N,2009,271997,0.05
GL,WI,ATW,Appleton,Appleton International,P,N,2008,259340,-0.1
GL,WI,ATW,Appleton,Appleton International,P,N,2007,288180,0.01
GL,WI,ATW,Appleton,Appleton International,P,N,2006,285123,-0.05
SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,2015,5797562,0.11
SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,2014,5219982,0.07
SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,2013,4900959,0.06
SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,2012,4606252,0.04
SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,2011,4436661,0.06
SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,2010,4201136,0.04
SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,2009,4027100,-0.06
SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,2008,4268536,0.02
SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,2007,4181956,0.06
SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,2006,3945020,0.08
SO,NC,AVL,Asheville,Asheville Regional,P,N,2015,393386,0.03
SO,NC,AVL,Asheville,Asheville Regional,P,N,2014,382586,0.12
SO,NC,AVL,Asheville,Asheville Regional,P,N,2013,342400,0.08
SO,NC,AVL,Asheville,Asheville Regional,P,N,2012,318395,-0.12
SO,NC,AVL,Asheville,Asheville Regional,P,N,2011,361617,-0.03
SO,NC,AVL,Asheville,Asheville Regional,P,N,2010,371226,0.26
SO,NC,AVL,Asheville,Asheville Regional,P,N,2009,293789,0.04
SO,NC,AVL,Asheville,Asheville Regional,P,N,2008,282306,-0.03
SO,NC,AVL,Asheville,Asheville Regional,P,N,2007,292053,0.01
SO,NC,AVL,Asheville,Asheville Regional,P,N,2006,289550,-0.08
EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,2015,219796,0.02
EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,2014,214805,-0.01
EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,2013,216536,-0.02
EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,2012,222060,-0.03
EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,2011,228367,0.07
EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,2010,213422,0.04
EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,2009,204244,-0.07
EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,2008,219745,0
EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,2007,219109,0.03
EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,2006,213233,-0.04
GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,2015,122081,-0.09
GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,2014,134832,0.04
GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,2013,129211,0.01
GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,2012,127517,-0.14
GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,2011,148634,0.1
GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,2010,135555,0.04
GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,2009,130769,-0.22
GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,2008,168687,-0.11
GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,2007,188992,-0.08
GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,2006,205637,-0.13
NE,CT,BDL,Windsor Locks,Bradley International,P,M,2015,2926054,0
NE,CT,BDL,Windsor Locks,Bradley International,P,M,2014,2913380,0.09
NE,CT,BDL,Windsor Locks,Bradley International,P,M,2013,2681181,0.01
NE,CT,BDL,Windsor Locks,Bradley International,P,M,2012,2647610,-0.05
NE,CT,BDL,Windsor Locks,Bradley International,P,M,2011,2772315,0.05
NE,CT,BDL,Windsor Locks,Bradley International,P,M,2010,2640155,0.01
NE,CT,BDL,Windsor Locks,Bradley International,P,M,2009,2626873,-0.13
NE,CT,BDL,Windsor Locks,Bradley International,P,M,2008,3006362,-0.07
NE,CT,BDL,Windsor Locks,Bradley International,P,M,2007,3231374,-0.05
NE,CT,BDL,Windsor Locks,Bradley International,P,M,2006,3409938,-0.06
AL,AK,BET,Bethel,Bethel,P,N,2015,158824,0.02
AL,AK,BET,Bethel,Bethel,P,N,2014,155936,0.03
AL,AK,BET,Bethel,Bethel,P,N,2013,152084,0.03
AL,AK,BET,Bethel,Bethel,P,N,2012,148168,-0.03
AL,AK,BET,Bethel,Bethel,P,N,2011,152366,0.06
AL,AK,BET,Bethel,Bethel,P,N,2010,144353,0.07
AL,AK,BET,Bethel,Bethel,P,N,2009,134848,-0.04
AL,AK,BET,Bethel,Bethel,P,N,2008,140291,-0.02
AL,AK,BET,Bethel,Bethel,P,N,2007,143341,0.04
AL,AK,BET,Bethel,Bethel,P,N,2006,137521,-0.04
NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,2015,18945,-0.07
NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,2014,20418,0.57
NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,2013,13008,-0.44
NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,2012,23078,-0.33
NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,2011,34434,0.02
NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,2010,33656,-0.06
NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,2009,35863,0.04
NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,2008,34597,0
NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,2007,34580,0.1
NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,2006,31418,0.37
WP,CA,BFL,Bakersfield,Meadows Field,P,N,2015,120966,-0.14
WP,CA,BFL,Bakersfield,Meadows Field,P,N,2014,140007,-0.02
WP,CA,BFL,Bakersfield,Meadows Field,P,N,2013,143175,-0.06
WP,CA,BFL,Bakersfield,Meadows Field,P,N,2012,152456,0.03
WP,CA,BFL,Bakersfield,Meadows Field,P,N,2011,148347,0.33
WP,CA,BFL,Bakersfield,Meadows Field,P,N,2010,111699,0.08
WP,CA,BFL,Bakersfield,Meadows Field,P,N,2009,103067,-0.27
WP,CA,BFL,Bakersfield,Meadows Field,P,N,2008,141847,-0.14
WP,CA,BFL,Bakersfield,Meadows Field,P,N,2007,164400,-0.04
WP,CA,BFL,Bakersfield,Meadows Field,P,N,2006,171913,0.17
EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,2015,77654,-0.06
EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,2014,82625,-0.13
EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,2013,95210,-0.1
EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,2012,105494,-0.02
EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,2011,108172,-0.01
EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,2010,108988,0.11
EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,2009,98090,-0.09
EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,2008,108325,-0.1
EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,2007,120465,0.12
EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,2006,107314,-0.12
NE,ME,BGR,Bangor,Bangor International,P,N,2015,273829,-0.14
NE,ME,BGR,Bangor,Bangor International,P,N,2014,317200,0.01
NE,ME,BGR,Bangor,Bangor International,P,N,2013,315139,0.04
NE,ME,BGR,Bangor,Bangor International,P,N,2012,302610,-0.23
NE,ME,BGR,Bangor,Bangor International,P,N,2011,391597,-0.06
NE,ME,BGR,Bangor,Bangor International,P,N,2010,416328,0.07
NE,ME,BGR,Bangor,Bangor International,P,N,2009,388681,0.09
NE,ME,BGR,Bangor,Bangor International,P,N,2008,355508,0.03
NE,ME,BGR,Bangor,Bangor International,P,N,2007,346688,-0.16
NE,ME,BGR,Bangor,Bangor International,P,N,2006,411352,-0.05
NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,CS,None,2015,9579,0.11
NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,CS,None,2014,8625,-0.16
NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,CS,None,2013,10292,0.03
NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,CS,None,2012,10006,-0.2
NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,CS,None,2011,12510,0.13
NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,CS,None,2010,11109,0.1
NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,CS,None,2009,10100,-0.04
NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,CS,None,2008,10562,-0.04
NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,CS,None,2007,10953,0.07
NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,CS,None,2006,10256,0.02
SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,2015,1325897,0.02
SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,2014,1299214,-0.03
SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,2013,1334177,-0.06
